City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vila Franca Do Campo,PT,73.81,few clouds,37.7167,-25.4333,Pestana Bahia Praia
9,Guerrero Negro,MX,75.87,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
10,Saint Anthony,US,70.14,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
13,Cervo,ES,73.2,clear sky,43.6702,-7.4101,Hotel Spa Galatea
20,Rikitea,PF,73.76,broken clouds,-23.1203,-134.9692,People ThankYou
21,Vaini,TO,75.45,clear sky,-21.2,-175.2,Keleti Beach Resort
24,Along,IN,71.44,few clouds,28.1667,94.7667,Hotel West
25,Freeport,US,78.96,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
31,Tikaitnagar,IN,77.74,clear sky,26.95,81.5833,gaurav ka ghar
32,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
33,Sechura,PE,76.53,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
34,Atuona,PF,77.9,light rain,-9.8,-139.0333,Villa Enata
41,Jamestown,US,78.03,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
43,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Albany,US,73.81,broken clouds,42.6001,-73.9662,
47,Warwick,US,75.42,clear sky,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
51,Faanui,PF,77.76,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
52,Kampene,CD,71.2,broken clouds,-3.6,26.6667,
54,Tura,IN,74.8,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
59,Sorong,ID,79.32,moderate rain,-0.8833,131.25,waigo splash hotel
65,Naze,JP,76.8,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
66,Castro,BR,72.12,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
73,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
74,Kapaa,US,75.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
99,Cacapava,BR,77.25,broken clouds,-23.1008,-45.7069,Arcadas Hotel
100,Meulaboh,ID,77.83,light rain,4.1363,96.1285,Kost Pria
104,Tigbinan,PH,74.93,overcast clouds,14.1865,122.4692,Emerenciana's resort
112,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
117,Calvia,ES,72.57,clear sky,39.5657,2.5062,Castell Son Claret
124,Ribeira Grande,PT,73.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
130,Fare,PF,77.47,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
133,Tautira,PF,75.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
140,Poum,NC,71.92,broken clouds,-20.2333,164.0167,Gîte kajeon
145,Bethel,US,75.47,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
154,Bennettsville,US,72.32,overcast clouds,34.6174,-79.6848,Quality Inn
160,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
161,Hue,VN,77.11,broken clouds,16.4667,107.6,Saigon Morin Hotel
167,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
173,Parvatipuram,IN,77.94,clear sky,18.7833,83.4333,Laxman Lodge
191,Benghazi,LY,77.54,clear sky,32.1167,20.0667,Tibesti Hotel
192,Diglur,IN,78.51,broken clouds,18.55,77.6,YASIN DEGLOOR
197,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
199,Dicabisagan,PH,78.21,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
206,Lubango,AO,78.66,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
207,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
208,Guadalupe Y Calvo,MX,72.01,clear sky,26.1,-106.9667,Hotel Pizarro
210,Ponta Do Sol,PT,78.01,broken clouds,32.6667,-17.1,Hotel do Campo
219,Aloleng,PH,78.51,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
220,Paujiles,HN,72.59,overcast clouds,15.1,-87.35,
224,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
230,Rudbar,AF,71.71,clear sky,30.15,62.6,
234,Pierre,US,73.06,broken clouds,44.3683,-100.351,Ramkota Hotel
239,Ambon,ID,79.61,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
243,Vanimo,PG,79.9,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
249,Marzuq,YE,75.02,overcast clouds,14.4,46.4667,
252,Clinton,US,71.96,light rain,42.587,-82.9199,Hampton Inn Detroit/Roseville
254,Mayo,US,79.25,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
255,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
257,Maryville,US,76.26,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
258,Duiwelskloof,ZA,75.58,broken clouds,-23.6934,30.14,Silvermist Guesthouse
263,Camacha,PT,72.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
264,Sola,VU,79.86,broken clouds,-13.8833,167.55,Leumerus Bungalows
271,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
272,Kampong Cham,KH,75.0,moderate rain,11.9934,105.4635,7 Makara Hotel
283,Los Llanos De Aridane,ES,72.12,volcanic ash,28.6585,-17.9182,Valle Aridane
286,San Quintin,MX,72.01,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
290,Tall Kayf,TR,72.07,clear sky,37.0833,41.0667,
296,Dharmanagar,IN,76.82,clear sky,24.3667,92.1667,Juri Lodge
307,Buala,SB,79.2,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
309,Alugan,PH,76.86,moderate rain,12.2188,125.4808,JM Lodge
310,Westport,US,77.95,overcast clouds,41.1415,-73.3579,The Westport Inn
314,Kalawit,PH,79.9,overcast clouds,8.0667,122.5167,Ompoy Pension House
317,Damietta,EG,76.89,clear sky,31.4165,31.8133,SULIMAN INN
320,Nelspruit,ZA,73.69,clear sky,-25.4745,30.9703,Leaves Lodge and Spa
324,Hamilton,US,77.0,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
325,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
329,Bengkulu,ID,76.08,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
332,Kupang,ID,77.23,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
334,Inhambane,MZ,73.38,few clouds,-23.865,35.3833,Oceano
336,Griffith,US,74.98,scattered clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
341,Chibombo,ZM,78.24,clear sky,-14.6569,28.0706,Chibombo District Council Guest House
344,Frontera,MX,77.95,clear sky,26.9333,-101.45,Casagrande Hotel
353,Viedma,AR,74.08,clear sky,-40.8135,-62.9967,Hotel Cristal
357,Tacoronte,ES,77.13,scattered clouds,28.4769,-16.4102,Casa Laurel
358,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
359,Ashland,US,75.97,scattered clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
360,Kieta,PG,79.29,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
366,Yangjiang,CN,76.6,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
370,Xai-Xai,MZ,77.65,scattered clouds,-25.0519,33.6442,Complexo da Familia
373,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
388,Mount Darwin,ZW,76.77,few clouds,-16.7725,31.5838,
389,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
395,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
397,Itanagar,IN,72.93,clear sky,27.1,93.6167,Hotel Moomsie Itanagar
406,Rawson,AR,74.89,clear sky,-43.3002,-65.1023,Hosteria Sampedro
407,Fukue,JP,77.18,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
