City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,40.28,93,20,4.61,few clouds
1,Hermanus,ZA,-34.4187,19.2345,63.81,78,87,14.18,overcast clouds
2,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,67,13,3.09,few clouds
3,Punta Arenas,CL,-53.15,-70.9167,50.11,46,20,40.29,few clouds
4,Veracruz,MX,19.3333,-96.6667,68.9,82,99,2.26,overcast clouds
5,Igrim,RU,63.1906,64.4162,44.51,77,100,12.3,light rain
6,Ushuaia,AR,-54.8,-68.3,40.66,87,40,27.63,light rain
7,Busselton,AU,-33.65,115.3333,50.04,84,39,9.51,scattered clouds
8,Port Alfred,ZA,-33.5906,26.891,63.99,83,0,10.49,clear sky
9,Guerrero Negro,MX,27.9769,-114.0611,75.87,60,55,14.27,broken clouds
10,Saint Anthony,US,45.0205,-93.218,70.14,85,90,4.61,overcast clouds
11,Hobart,AU,-42.8794,147.3294,57.25,58,40,5.99,light rain
12,Zonguldak,TR,41.25,31.8333,51.42,94,50,0.63,scattered clouds
13,Cervo,ES,43.6702,-7.4101,73.2,76,1,12.91,clear sky
14,Mattru,SL,7.6244,-11.8332,81.27,86,97,3.96,light rain
15,Visavadar,IN,21.3833,70.6833,81.45,80,100,4.14,overcast clouds
16,Esperance,AU,-33.8667,121.9,54.5,74,24,13.44,few clouds
17,Dikson,RU,73.5069,80.5464,28.09,77,100,23.87,overcast clouds
18,Sorkjosen,NO,69.8,20.9333,38.91,86,100,6.11,overcast clouds
19,Bataipora,BR,-22.2953,-53.2711,88.25,44,39,5.37,scattered clouds
20,Rikitea,PF,-23.1203,-134.9692,73.76,75,76,7.63,broken clouds
21,Vaini,TO,-21.2,-175.2,75.45,81,1,8.1,clear sky
22,Shingu,JP,33.7333,135.9833,68.49,79,0,4.12,clear sky
23,Bluff,NZ,-46.6,168.3333,49.8,93,100,6.67,overcast clouds
